
PP,0,I have never ever liked you,5.0
PP,1,You still smell of fish,5.0
PP,2,You got me a pony for my birthday,5.0
FFFF,0,I have never ever liked you.,5.0
FFFF,1,You still smell of fish.,5.0
FFFF,2,You got me a pony for my birthday.,5.0
FFFF,3,Nogle gange hælder vi øl ud på bordet sammen.,5.0
FFFF,4,HVOR ER DEN SØD!,5.0
PH,0,hvor er du bare sød.,3.7
PH,0,hvor er du bare sød.,3.7
PH,1,hvad sker der med os?,6.4
PH,2,hvorfor har vi ikke rosenrøde kinder mere?,6.4
PH,3,og det var da bare kaffe på bukserne.,6.4
PSYCHO,0,hvor er du bare sød.,0.9
PSYCHO,1,hvad sker der med os?,8.4
PSYCHO,2,hvorfor har vi ikke rosenrøde kinder mere?,3.1
PSYCHO,3,og det var da bare kaffe på bukserne.,5.8
